student_id,course_code,session,semester,score,grade,grade_point,pass,credit_units
STD0000,STA100,2017/2018,2,69.7,B,4,1,3
STD0000,STA109,2017/2018,1,68.5,B,4,1,3
STD0000,STA105,2017/2018,2,73.4,A,5,1,3
STD0000,STA106,2017/2018,2,74.5,A,5,1,2
STD0000,STA103,2017/2018,1,69.6,B,4,1,2
STD0000,STA107,2017/2018,2,76.0,A,5,1,2
STD0000,STA207,2018/2019,1,73.3,A,5,1,2
STD0000,STA209,2018/2019,1,53.2,C,3,1,3
STD0000,STA107,2018/2019,2,58.3,C,3,1,2
STD0000,STA105,2018/2019,2,73.3,A,5,1,3
STD0000,STA102,2018/2019,1,50.1,C,3,1,3
STD0000,STA200,2018/2019,2,77.2,A,5,1,2
STD0000,STA109,2019/2020,1,64.7,B,4,1,3
STD0000,STA306,2019/2020,2,62.1,B,4,1,2
STD0000,STA300,2019/2020,2,70.7,A,5,1,2
STD0000,STA207,2019/2020,1,69.6,B,4,1,2
STD0000,STA303,2019/2020,1,70.2,A,5,1,3
STD0000,STA204,2019/2020,2,54.2,C,3,1,2
STD0000,STA109,2020/2021,1,66.1,B,4,1,3
STD0000,STA209,2020/2021,1,60.7,B,4,1,3
STD0000,STA206,2020/2021,1,56.3,C,3,1,2
STD0000,STA105,2020/2021,2,61.3,B,4,1,3
STD0000,STA204,2020/2021,2,40.2,F,0,0,2
STD0000,STA308,2020/2021,2,76.0,A,5,1,3
STD0000,STA105,2021/2022,2,57.8,C,3,1,3
STD0000,STA407,2021/2022,2,81.7,A,5,1,3
STD0000,STA404,2021/2022,2,72.3,A,5,1,3
STD0000,STA109,2021/2022,1,77.6,A,5,1,3
STD0000,STA302,2021/2022,2,67.5,B,4,1,2
STD0000,STA106,2021/2022,2,84.6,A,5,1,2
STD0000,STA409,2022/2023,2,48.4,D,2,1,3
STD0000,STA405,2022/2023,2,64.9,B,4,1,2
STD0000,STA102,2022/2023,1,83.5,A,5,1,3
STD0000,STA109,2022/2023,1,58.4,C,3,1,3
STD0000,STA304,2022/2023,1,70.9,A,5,1,2
STD0000,STA208,2022/2023,1,69.6,B,4,1,3
STD0001,STA109,2019/2020,1,68.6,B,4,1,3
STD0001,STA100,2019/2020,2,60.6,B,4,1,3
STD0001,STA106,2019/2020,2,63.7,B,4,1,2
STD0001,STA105,2019/2020,2,55.5,C,3,1,3
STD0001,STA102,2019/2020,1,60.7,B,4,1,3
STD0001,STA103,2019/2020,1,48.0,D,2,1,2
STD0001,STA107,2020/2021,2,59.6,C,3,1,2
STD0001,STA208,2020/2021,1,79.1,A,5,1,3
STD0001,STA204,2020/2021,2,48.3,D,2,1,2
STD0001,STA209,2020/2021,1,53.3,C,3,1,3
STD0001,STA201,2020/2021,1,51.2,C,3,1,3
STD0001,STA106,2020/2021,2,76.3,A,5,1,2
STD0001,STA205,2021/2022,1,39.3,F,0,0,3
STD0001,STA308,2021/2022,2,60.2,B,4,1,3
STD0001,STA103,2021/2022,1,44.0,F,0,0,2
STD0001,STA304,2021/2022,1,55.5,C,3,1,2
STD0001,STA207,2021/2022,1,63.1,B,4,1,2
STD0001,STA201,2021/2022,1,46.7,D,2,1,3
STD0001,STA303,2022/2023,1,64.1,B,4,1,3
STD0001,STA209,2022/2023,1,45.7,D,2,1,3
STD0001,STA204,2022/2023,2,47.0,D,2,1,2
STD0001,STA105,2022/2023,2,57.3,C,3,1,3
STD0001,STA305,2022/2023,1,57.9,C,3,1,3
STD0001,STA409,2022/2023,2,42.2,F,0,0,3
STD0002,STA106,2018/2019,2,96.7,A,5,1,2
STD0002,STA100,2018/2019,2,64.6,B,4,1,3
STD0002,STA102,2018/2019,1,61.2,B,4,1,3
STD0002,STA107,2018/2019,2,59.6,C,3,1,2
STD0002,STA109,2018/2019,1,49.9,D,2,1,3
STD0002,STA103,2018/2019,1,44.3,F,0,0,2
STD0002,STA100,2019/2020,2,63.6,B,4,1,3
STD0002,STA102,2019/2020,1,71.0,A,5,1,3
STD0002,STA206,2019/2020,1,70.9,A,5,1,2
STD0002,STA207,2019/2020,1,63.9,B,4,1,2
STD0002,STA106,2019/2020,2,86.0,A,5,1,2
STD0002,STA204,2019/2020,2,57.2,C,3,1,2
STD0002,STA106,2020/2021,2,84.8,A,5,1,2
STD0002,STA107,2020/2021,2,49.9,D,2,1,2
STD0002,STA306,2020/2021,2,64.9,B,4,1,2
STD0002,STA200,2020/2021,2,95.6,A,5,1,2
STD0002,STA206,2020/2021,1,69.5,B,4,1,2
STD0002,STA208,2020/2021,1,63.0,B,4,1,3
STD0002,STA306,2021/2022,2,52.6,C,3,1,2
STD0002,STA206,2021/2022,1,76.5,A,5,1,2
STD0002,STA105,2021/2022,2,64.7,B,4,1,3
STD0002,STA409,2021/2022,2,55.3,C,3,1,3
STD0002,STA400,2021/2022,1,64.8,B,4,1,2
STD0002,STA303,2021/2022,1,70.2,A,5,1,3
STD0002,STA404,2022/2023,2,78.6,A,5,1,3
STD0002,STA102,2022/2023,1,71.4,A,5,1,3
