student_id,session,semester,semester_gpa,credits_attempted,credits_earned
STD0000,2017/2018,1,4.0,5.0,5.0
STD0000,2017/2018,2,4.7,10.0,10.0
STD0000,2018/2019,1,3.5,8.0,8.0
STD0000,2018/2019,2,4.428571428571429,7.0,7.0
STD0000,2019/2020,1,4.375,8.0,8.0
STD0000,2019/2020,2,4.0,6.0,6.0
STD0000,2020/2021,1,3.75,8.0,8.0
STD0000,2020/2021,2,3.375,8.0,6.0
STD0000,2021/2022,1,5.0,3.0,3.0
STD0000,2021/2022,2,4.384615384615385,13.0,13.0
STD0000,2022/2023,1,4.181818181818182,11.0,11.0
STD0000,2022/2023,2,2.8,5.0,5.0
STD0001,2019/2020,1,3.5,8.0,8.0
STD0001,2019/2020,2,3.625,8.0,8.0
STD0001,2020/2021,1,3.6666666666666665,9.0,9.0
STD0001,2020/2021,2,3.3333333333333335,6.0,6.0
STD0001,2021/2022,1,1.6666666666666667,12.0,7.0
STD0001,2021/2022,2,4.0,3.0,3.0
STD0001,2022/2023,1,3.0,9.0,9.0
STD0001,2022/2023,2,1.625,8.0,5.0
STD0002,2018/2019,1,2.25,8.0,6.0
STD0002,2018/2019,2,4.0,7.0,7.0
STD0002,2019/2020,1,4.714285714285714,7.0,7.0
STD0002,2019/2020,2,4.0,7.0,7.0
STD0002,2020/2021,1,4.0,5.0,5.0
STD0002,2020/2021,2,4.0,8.0,8.0
STD0002,2021/2022,1,4.714285714285714,7.0,7.0
STD0002,2021/2022,2,3.375,8.0,8.0
STD0002,2022/2023,1,5.0,8.0,8.0
STD0002,2022/2023,2,4.25,8.0,8.0
STD0003,2017/2018,1,4.5,8.0,8.0
STD0003,2017/2018,2,4.714285714285714,7.0,7.0
STD0003,2018/2019,1,4.538461538461538,13.0,13.0
STD0003,2018/2019,2,5.0,3.0,3.0
STD0003,2019/2020,1,4.7272727272727275,11.0,11.0
STD0003,2019/2020,2,4.6,5.0,5.0
STD0003,2020/2021,1,4.0,4.0,4.0
STD0003,2020/2021,2,4.7272727272727275,11.0,11.0
STD0003,2021/2022,1,4.8,10.0,10.0
STD0003,2021/2022,2,3.0,5.0,5.0
STD0003,2022/2023,1,4.666666666666667,6.0,6.0
STD0003,2022/2023,2,4.142857142857143,7.0,7.0
STD0004,2020/2021,1,2.625,8.0,6.0
STD0004,2020/2021,2,3.625,8.0,8.0
STD0004,2021/2022,1,2.7,10.0,8.0
STD0004,2021/2022,2,1.8,5.0,3.0
STD0004,2022/2023,1,4.0,3.0,3.0
STD0004,2022/2023,2,3.8,10.0,10.0
STD0005,2017/2018,1,3.125,8.0,8.0
STD0005,2017/2018,2,4.714285714285714,7.0,7.0
STD0005,2018/2019,1,0.75,8.0,3.0
STD0005,2018/2019,2,3.142857142857143,7.0,7.0
STD0005,2019/2020,1,0.5,8.0,2.0
STD0005,2019/2020,2,3.5,8.0,8.0
STD0005,2020/2021,1,2.875,8.0,5.0
STD0005,2020/2021,2,1.1428571428571428,7.0,2.0
STD0005,2021/2022,1,3.5,8.0,8.0
STD0005,2021/2022,2,3.375,8.0,8.0
STD0005,2022/2023,1,4.0,8.0,8.0
STD0005,2022/2023,2,2.0,6.0,6.0
STD0006,2018/2019,1,4.2,5.0,5.0
STD0006,2018/2019,2,5.0,10.0,10.0
STD0006,2019/2020,1,5.0,9.0,9.0
STD0006,2019/2020,2,4.714285714285714,7.0,7.0
STD0006,2020/2021,1,4.375,8.0,8.0
